,"地區
 (北投區/士林區/內湖區/松山區/中山區/大同區/南港區/信義區/大安區/中正區/萬華區/文山區)",,"運動種類
 (重訓/有氧/瑜珈/球類/游泳/戶外運動)",,"設施配備
 (淋浴間/置物櫃/停車場/Wi-Fi)","場館規模
 (大型綜合場所/小型運動場所)", (有/無),(女性專用/無障礙設施/寵物友善/性別友善設施),,,,
濱江國小,中山區,,,,,,,,,臺北市中山區樂群二路266巷99號,,
台北市美僑協會游泳池,中山區,,,,,,,,,臺北市中山區北安路47號,,
練健康,中山區,,,,,,,,,臺北市中山區南京東路3段29號B1,,
Curves南京復興店,中山區,,,,,,,,,臺北市中山區南京東路3段208號5樓,,
Free Power運動訓練,中山區,,,,,,,,,臺北市中山區新生北路1段83號B1,,
PEETA FITNESS,中山區,,,,,,,,,臺北市中山區長安東路2段53號2樓,,
Forge打鐵健身,中山區,,,,,,,,,臺北市中山區林森北路133巷67號B1,,
植健身FIT PLANT GYM,中山區,,,,,,,,,臺北市中山區中山北路1段33巷25號1樓,,
橡體有限公司,中山區,,,,,,,,,臺北市中山區中山北路1段33巷25號2樓,,
X-fit studio體適能健體空間,中山區,,,,,,,,,臺北市中山區中山北路2段56號3、4樓,,
台北運動健身中心,中山區,,,,,,,,,臺北市中山區民生東路1段29號地下1樓,,
Curves中山錦州店,中山區,,,,,,,,,臺北市中山區中山北路2段115巷45號,,
跑者肌地 Runner Sports Training,中山區,,,,,,,,,臺北市中山區雙城街38-1號,,
布勒斯運動顧問,中山區,,,,,,,,,臺北市中山區復興北路446號,,
World Gym健身俱樂部民權東店,中山區,,,,,,,,,臺北市中山區民權東路3段72號地下一層、74號地下一層、民權東路3段60巷1號1樓及2樓,,
Curves民權龍江店,中山區,,,,,,,,,臺北市中山區民權東路3段21號7樓,,
PULSE Gym台北建國店,中山區,,,,,,,,,臺北市中山區建國北路1段96號1樓,,
Curves建國長春店,中山區,,,,,,,,,臺北市中山區建國北路2段74號3樓,,
Super FIT松江民權館,中山區,,,,,,,,,臺北市中山區建國北路2段123號2樓,,
Monkey Training猴子體能訓練,中山區,,,,,,,,,臺北市中山區松江路276號6樓,,
EAGER SPORT,中山區,,,,,,,,,臺北市中山區復興北路60號4樓,,
FIT IN 健身訓練工作室台北中山店,中山區,,,,,,,,,臺北市中山區復興北路344號3樓,,
鍛鍊基地Workout Base,中山區,,,,,,,,,臺北市中山區長春路410號2樓,,
World Gym健身俱樂部台北長春店,中山區,,,,,,,,,臺北市中山區長春路90號、長春路90號地下1樓及新生北路2段40號,,
VShape 頗行健體運動空間,中山區,,,,,,,,,臺北市中山區長春路61巷27號及29號,,
拳能健身館Dynamic Fitness,中山區,,,,,,,,,臺北市中山區樂群三路77號2樓,,
蔡若蓁氧身工坊,中山區,,,,,,,,,臺北市中山區南京東路2段172號4樓,,
戀依佳瑜珈工作室有限公司,中山區,,,,,,,,,臺北市中山區民權西路70號8樓,,
